рука
спина
живот
кровь
тело
кость
мозг
щека
грудь
подбородок
ухо
локоть
глаз
бровь
ресница
лицо
палец
кулак
ступня
лоб
волосы
кисть руки
сердце
пятка
бедро
челюсть
почка
колено
нога
губы
мизинец
печень
легкое
рот
мышца
ноготь
шея
нерв
нос
ладонь
ребро
безымянный палец
скелет
кожа
череп
желудок
горло
большой палец
палец на ноге
язык
зуб
запястье
ремень
блузка
ботинки
браслет
кепка
цепочка
плащ
одежда
пальто
платье
серьги
официальная одежда
шляпа
сапоги
высокие каблуки
"худи, толстовка"
пиджак
джинсы
ожерелье
карман
пижама
плащ-дождевик
кольцо
рубашка
туфли
шорты
юбка
тапочки
носки
спортивный костюм
костюм
свитер
купальный костюм
кроссовки
футболка
зонт
нижнее белье
униформа
застежка-молния
яблоко
бекон
банан
говядина
ягоды
печенье
завтрак
масло
морковь
хлопья
курица
кофе
кукуруза
огурец
ужин
напитки
утка
баклажан
рыба
фрукты
чеснок
виноград
ветчина
варенье
сок
лимон
салат-латук
обед
молоко
минеральная вода
гриб
орехи
лук
блинчик
персик
перец
ананас
слива
свинина
картофель
лосось
сэндвич
колбаса
креветка
перекус
газировка
клубника
вкус
чай
тост
помидор
индейка
овощи
вода
арбуз
йогурт
актер
художник
перерыв
карьера
компания
повар
дизайнер
директор
врач
инженер
пожарный
домохозяйка
собеседование
работа
журналист
юрист
встреча
деньги
музыкант
офис
фотограф
полицейский
профессионал
программист
ученик
зарплата
ученый
певец
спортсмен
навык
студент
задача
учитель
квартира
подвал
потолок
пол (этаж)
дом (место)
дом (здание)
сосед
крыша
лестница
стена
двор
кресло
книжный шкаф
ковер
кофейный столик
компьютер
шторы
рабочий стол
лампа
ноутбук
гостиная
картина
рамка для фотографий
диван
телевизор
ванна
банный халат
ванная комната
пузырьки
зеркало
бритва
шампунь
душ
мыло
губка
унитаз
зубная щетка
зубная паста
полотенце
будильник
кровать
спальня
одеяло
платяной шкаф
расческа
вешалка
выключатель света
телефон
подушка
простыня
миска
стул
плита
чашка
вилка
морозильная камера
холодильник
бокал
чайник
кухня
нож
кружка
тарелка
ложка
стол
баскетбол
бильярд
книга
боулинг
танец
карты
шахматы
кино
цирк
коллекционирование
комиксы
компьютерные игры
кроссворды
дайвинг
рисование
рыбалка
фитнес
футбол
хоккей
охота
вязание
модель
музыка
фотография
поэзия
чтение
бег
скульптура
шопинг
пение
катание на лыжах
плавание
теннис
театр
волейбол
йога
агентство
авиалинии
аэропорт
достопримечательности
рюкзак
сумка
багаж
пляж
велосипед
костер
граница
автобус
лагерь
столица
машина
город
страна
круиз
валюта
направление
восток
иностранец
поход
"отель, гостиница"
путешествие
местный
карта
мотоцикл
гора
север
паспорт
самолет
открытка
железная дорога
отдых
"номер, комната"
маршрут
корабль
юг
сувенир
чемодан
такси
палатка
билет
туризм
поезд
поездка
"отпуск, каникулы"
виза
запад
понедельник
вторник
среда
четверг
пятница
суббота
воскресенье
зима
весна
лето
осень
небо
снег
снегопад
снежинка
снежный
звезда
звездный
солнце
солнечный свет
рассвет
закат
гром
гроза
погода
ветер
пещера
скала
пустыня
пыль
поле
лес
земля
холм
остров
джунгли
озеро
гора
природа
океан
пруд
река
песок
море
камень
ручей
болото
волна
животное
клюв
коготь
перо
шерсть
бык
кошка
курица
корова
собака
осел
коза
гусь
морская свинка
хомяк
лошадь
котенок
мышь
попугай
питомец
свинья
щенок
кролик
крыса
овца
медведь
верблюд
крокодил
олень
слон
лиса
жираф
бегемот
кенгуру
лев
обезьяна
панда
носорог
змея
тигр
дикий
волк
пчела
жук
бабочка
муха
насекомое
паук
птица
утка
орел
сова
пингвин
голубь
ворон
воробей
лебедь
куст
кактус
цветок
трава
лист
лилия
дуб
сосна
корень
роза
дерево
Рождество
цветные фонарики (гирлянды)
украшения
гость
праздник
Новый год
новогодняя елка
подарок
снеговик
угощение
воздушный шар
день рождения
торт
свеча
вечеринка
желание
"булочная, пекарня"
банк
скамья
книжный магазин
мост
здание
кафе
парковка
собор
дешевый
церковь
монета
угол
перекресток
покупатель
тупик
дорогой
фонтан
больница
налево
библиотека
лифт
торговый центр
рынок
памятник
музей
ночной клуб
парк
цена
общественный транспорт
чек
ресторан
направо
дорога
распродажа
школа
магазин
площадь
стадион
станция
остановка
улица
метро
супермаркет
университет
вид
путь
зоопарк
